Species,Chemical_Name,"Ordered_Freq_(GHz) (rest frame, redshifted)",Resolved_QNs,CDMS/JPL Intensity,Lovas/AST  Intensity ,E_L (cm^-1),E_L (K),Linelist
HC3Nv=0,Cyanoacetylene,"227.41890500,227.41890500",J=25-24,-1.25700,3.5,91.0376,130.9820,CDMS
SO2v=0,Sulfur-dioxide,"224.26481120,224.26481120","20(2,18)-19(3,17)",-3.45010,2.6,136.9168,196.9916,JPL
13CH313CH2CN,Ethyl-cyanide,"224.45955400,224.45955400","27(0,27)-26(1,26)",-3.73550,,98.8657,142.2466,CDMS
(CH3)2COv=0,Acetone,"224.70046990,224.70046990","18(6,13)-17(5,12)EE",-4.62360,,73.5918,105.8816,JPL
C17O,Carbon-Monoxide,"224.71474380,224.71474380","J=2-1,F=3/2-3/2",-5.18080,1.5,3.7479,5.3924,CDMS
CH3OCHOv=0,Methyl-Formate,"224.71512050,224.71512050","39(8,32)-38(9,29)A",-6.10790,,346.1374,498.0116,JPL
"CH3O13CHOvt=0,1",Methyl-formate,"224.84410000,224.84410000","6(6,1)-5(5,1),v=5-5",-6.05650,,148.4676,213.6131,CDMS
CH3CH2CNv=0,Ethyl-Cyanide,"224.89448390,224.89448390","7(4,3)-6(3,4)",-4.31260,b,13.2321,19.0379,JPL
CH2CHCNv=0,Vinyl-Cyanide,"224.87952430,224.87952430","8(3,5)-8(2,6),F=9-8,A",-6.95730,,17.4285,25.0759,JPL
SO2v=0,Sulfur-dioxide,"225.15370240,225.15370240","13(2,12)-13(1,13)",-3.24820,6.3,57.1170,82.1781,JPL
CH3OCH3,Dimethyl-ether,"225.20394560,225.20394560","24(4,21)-24(3,22)EE",-4.10700,b,198.4774,285.5631,JPL
CH3CH2CNv=0,Ethyl-Cyanide,"225.23611650,225.23611650","25(4,21)-24(4,20)",-2.70720,0.8,102.1946,147.0344,JPL
CH3O13CHO,Methyl-Formate,"225.23612100,225.23612100","19(2,17)-18(2,16)++vt=0-0",0.00000,,72.8795,104.8568,TopModel
t-HCOOH,Formic-Acid,"225.23775360,225.23775360","10(3,8)-9(3,7)",-3.27590,,53.6659,77.2128,CDMS
13CH3CH213CN,Ethyl-cyanide,"225.31680700,225.31680700","27(0,27)-26(0,26)",-2.67260,,98.9393,142.3525,CDMS
CH213CHCN,Vinyl-Cyanide,"225.29843660,225.29843660","19(3,17)-19(2,18)",-4.13910,,65.5291,94.2812,JPL
CH3OCH3,Dimethyl-ether,"225.59943860,225.59943860","12(1,12)-11(0,11)AA",-4.13520,b,40.9810,58.9622,JPL
CH3OCHOv=0,Methyl-Formate,"225.60882100,225.60882100","19(3,17)-18(3,16)E",-3.94250,,73.5830,105.8689,JPL
H2CO,Formaldehyde,"225.69777500,225.69777500","3(1,2)-2(1,1)",-2.33150,,15.7202,22.6180,CDMS
SO2v=0,Sulfur-dioxide,"226.30002710,226.30002710","14(3,11)-14(2,12)",-3.04300,5.8,75.1496,108.1229,JPL
CH3OCH3,Dimethyl-ether,"226.34780420,226.34780420","14(1,13)-13(2,12)EA",-4.80480,b,61.1647,88.0019,JPL
CNv=0,Cyanide-Radical,"226.35987100,226.35987100","N=2-1,J=3/2-3/2,F=5/2-5/2",-3.45080,1.2,3.7857,5.4467,CDMS
CH3OCHO(OSU),Methyl-Formate,"226.38382500,226.38382500",,69.41500,,204.3610,294.0318,OSU
CNv=0,Cyanide-Radical,"226.63219010,226.63219010","N=2-1,J=3/2-1/2,F=3/2-3/2",-3.20440,1.4,3.7757,5.4324,CDMS
CNv=0,Cyanide-Radical,"226.65955840,226.65955840","N=2-1,J=3/2-1/2,F=5/2-3/2",-2.68150,4.3,3.7757,5.4324,CDMS
CNv=0,Cyanide-Radical,"226.67931140,226.67931140","N=2-1,J=3/2-1/2,F=3/2-1/2",-3.11220,1.9,3.7741,5.4301,CDMS
CNv=0,Cyanide-Radical,"226.87478130,226.87478130","N=2-1,J=5/2-3/2,F=7/2-5/2",-2.47510,8.0b,3.7857,5.4467,CDMS
CNv=0,Cyanide-Radical,"226.87589600,226.87589600","N=2-1,J=5/2-3/2,F=3/2-1/2",-2.90040,b,3.7866,5.4480,CDMS
CNv=0,Cyanide-Radical,"226.88742020,226.88742020","N=2-1,J=5/2-3/2,F=3/2-3/2",-3.39790,1.0,3.7862,5.4475,CDMS
CNv=0,Cyanide-Radical,"226.89212800,226.89212800","N=2-1,J=5/2-3/2,F=5/2-5/2",-3.40040,1.0,3.7857,5.4467,CDMS
CH2CHCNv=0,Vinyl-Cyanide,"226.93977070,226.93977070","27(4,23)-28(2,26),F=27-28,A",-7.11630,,136.2672,196.0594,JPL
H2NCH2CN,Aminoacetonitrile,"227.09548520,227.09548520","37(2,36)-37(1,37)",-5.04980,,206.0868,296.5149,CDMS
CH3OH(OSU),Methanol,"227.22954475,227.22954475",,-2.07829,,118.5520,170.5710,OSU
CH2CHCN(OSU),Vinyl-Cyanide,"227.33501300,227.33501300",,-0.09616,,555.0000,798.5264,OSU
